timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/09/08 07:20:19.279, 0, 380.42 W, 37, 1965 MHz, 3996 MHz, 100 %, 9 %
2026/09/08 07:20:19.279, 1, 392.58 W, 43, 1965 MHz, 3996 MHz, 100 %, 9 %
2026/09/08 07:20:19.279, 2, 375.45 W, 36, 1965 MHz, 3996 MHz, 100 %, 9 %
2026/09/08 07:20:19.279, 3, 384.71 W, 42, 1965 MHz, 3996 MHz, 100 %, 9 %
2026/09/08 07:20:19.279, 4, 379.91 W, 36, 1965 MHz, 3996 MHz, 100 %, 9 %
2026/09/08 07:20:19.279, 5, 388.18 W, 42, 1965 MHz, 3996 MHz, 100 %, 9 %
2026/09/08 07:20:19.279, 6, 374.34 W, 37, 1965 MHz, 3996 MHz, 100 %, 9 %
2026/09/08 07:20:19.279, 7, 379.36 W, 41, 1965 MHz, 3996 MHz, 100 %, 9 %
2026/09/08 07:20:20.279, 0, 336.61 W, 37, 1965 MHz, 3996 MHz, 100 %, 9 %
2026/09/08 07:20:20.279, 1, 346.06 W, 43, 1965 MHz, 3996 MHz, 100 %, 9 %
2026/09/08 07:20:20.279, 2, 333.34 W, 36, 1965 MHz, 3996 MHz, 100 %, 9 %
2026/09/08 07:20:20.279, 3, 344.15 W, 42, 1965 MHz, 3996 MHz, 100 %, 9 %
2026/09/08 07:20:20.279, 4, 337.25 W, 36, 1965 MHz, 3996 MHz, 100 %, 9 %
2026/09/08 07:20:20.279, 5, 342.84 W, 42, 1965 MHz, 3996 MHz, 100 %, 9 %
2026/09/08 07:20:20.279, 6, 335.00 W, 37, 1965 MHz, 3996 MHz, 100 %, 9 %
2026/09/08 07:20:20.279, 7, 335.78 W, 41, 1965 MHz, 3996 MHz, 100 %, 9 %
2026/09/08 07:20:21.279, 0, 337.18 W, 37, 1965 MHz, 3996 MHz, 100 %, 9 %
2026/09/08 07:20:21.279, 1, 345.05 W, 43, 1965 MHz, 3996 MHz, 100 %, 9 %
2026/09/08 07:20:21.279, 2, 340.15 W, 36, 1965 MHz, 3996 MHz, 100 %, 9 %
2026/09/08 07:20:21.279, 3, 344.63 W, 42, 1965 MHz, 3996 MHz, 100 %, 9 %
2026/09/08 07:20:21.279, 4, 337.94 W, 36, 1965 MHz, 3996 MHz, 100 %, 9 %
2026/09/08 07:20:21.279, 5, 342.85 W, 42, 1965 MHz, 3996 MHz, 100 %, 9 %
2026/09/08 07:20:21.279, 6, 334.88 W, 37, 1965 MHz, 3996 MHz, 100 %, 9 %
2026/09/08 07:20:21.279, 7, 336.11 W, 41, 1965 MHz, 3996 MHz, 100 %, 9 %
